analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,factor,factor_group,factor_kind,league_average_reference,response,color,color_points,extraction_confidence,extraction_method
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Targets,volume,binary_vs_avg,10.7,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Receptions,volume,binary_vs_avg,7.2,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Touchdowns,volume,binary_vs_avg,0.8,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Offensive Rank in PPG,situational,binary_vs_avg,8.94,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Quarterbacks Rank in PFF Passing Grade,situational,binary_vs_avg,10.36,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Team Pass Attempts,situational,binary_vs_avg,594.94,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Highest Targeted Secondary Option,situational,more_less_same,103.31,More,red,-3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Offensive Line Rank in Pass Blocking,situational,binary_vs_avg,10.75,No,red,-3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Rank in Yards per Route Run,situational,binary_vs_avg,4.81,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Highest % Achieved in Reception Perception,situational,binary_vs_avg,90th,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Archetype,classification,archetype,N/A,Prime WR1,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Injury/Suspension Concern?,classification,injury,N/A,Minimal Concern,yellow,3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Targets,volume,binary_vs_avg,10.7,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Receptions,volume,binary_vs_avg,7.2,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Touchdowns,volume,binary_vs_avg,0.8,Yes,yellow,3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Offensive Rank in PPG,situational,binary_vs_avg,8.94,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Quarterbacks Rank in PFF Passing Grade,situational,binary_vs_avg,10.36,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Team Pass Attempts,situational,binary_vs_avg,594.94,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Highest Targeted Secondary Option,situational,more_less_same,103.31,More,red,-3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Offensive Line Rank in Pass Blocking,situational,binary_vs_avg,10.75,Yes,yellow,3,high,"programmatic cell-fill sampling, validated vs published colour counts"
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Rank in Yards per Route Run,situational,binary_vs_avg,4.81,Yes,green,5,high,"programmatic cell-fill sampling, validated vs published colour counts"
