analysis_id,source,source_type,analyst,source_date,adp_basis,season,threshold_basis,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,tier_color,tier_rank,injury_concern,resp_pass_attempts,color_pass_attempts,resp_passing_tds,color_passing_tds,resp_rush_attempts,color_rush_attempts,resp_rushing_tds,color_rushing_tds,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_offensive_line_rank_in_pass_blocking,color_offensive_line_rank_in_pass_blocking,resp_deep_ball_attempts_per_game,color_deep_ball_attempts_per_game,resp_rank_in_qbr,color_rank_in_qbr,resp_redzone_combined_attempts,color_redzone_combined_attempts,resp_rank_in_neutral_pace,color_rank_in_neutral_pace,resp_rank_in_pass_offense_dvoa,color_rank_in_pass_offense_dvoa,n_green,n_yellow,n_orange,n_red,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,1,Josh Allen,Josh Allen,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,green,No,red,Yes,yellow,7,3,0,1,11,7,3,0,1,41,41,Y,,1,0
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,2,Lamar Jackson,Lamar Jackson,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,?,orange,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,1,8,2,0,11,1,8,2,0,27,27,Y,,9,-7
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,3,Drake Maye,Drake Maye,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,2,8,1,0,11,2,8,1,0,33,33,Y,,7,-4
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,4,Jayden Daniels,Jayden Daniels,,NOT IN SOURCE - QB grid has no archetype row,gold,4,NOT IN SOURCE - QB grid has no injury row,No,red,?,orange,Yes,green,Yes,yellow,?,orange,Yes,yellow,No,red,Yes,yellow,Yes,yellow,Yes,yellow,No,red,1,5,2,3,11,1,5,2,3,9,9,Y,,18,-14
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,5,Joe Burrow,Joe Burrow,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,green,Yes,green,?,orange,Yes,yellow,Yes,green,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,green,6,3,2,0,11,6,3,2,0,37,37,Y,,5,0
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,6,Caleb Williams,Caleb Williams,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,3,8,0,0,11,3,8,0,0,39,39,Y,,2,4
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,7,Jalen Hurts,Jalen Hurts,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,?,orange,No,red,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,yellow,?,orange,Yes,green,?,orange,Yes,yellow,4,3,3,1,11,4,3,3,1,23,23,Y,,12,-5
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,8,Dak Prescott,Dak Prescott,,NOT IN SOURCE - QB grid has no archetype row,green,2,NOT IN SOURCE - QB grid has no injury row,Yes,green,Yes,yellow,No,red,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,green,4,4,2,1,11,5,3,2,1,27,29,N,"Published counts record 5 green / 3 yellow; the grid has 4 green / 4 yellow across the same 11 cells. Grid yields a score of 27, not 29.",10,-2
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,9,Justin Herbert,Justin Herbert,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,3,8,0,0,11,3,8,0,0,39,39,Y,,3,6
QB_FACTOR_GRID_2026,"Analyst colour-coded QB factor grid (screenshots, 7 images; QB9-16 supplied twice)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,"Elite QB benchmark, NOT a cohort average - grids are titled ""Based on Elite QBs""",QB,10,Trevor Lawrence,Trevor Lawrence,,NOT IN SOURCE - QB grid has no archetype row,purple,1,NOT IN SOURCE - QB grid has no injury row,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,0,11,0,0,11,0,11,0,0,33,33,Y,,8,2
