analysis_id,source,source_type,analyst,source_date,population,archetype,archetype_label_in_source,outcome,outcome_definition,rate_pct_published,probability,archetype_n_inferred,event_count_inferred,note
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Breakout Candidate,"""Breakout Candidates""",returned_on_adp,Returned on ADP (no PPG threshold stated for RBs),42.86,0.4286,56,24,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Breakout Candidate,"""Breakout Candidates""",got_injured,Missed time due to injury,17.86,0.1786,56,10,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Breakout Candidate,"""Breakout Candidates""",boomed,18+ PPG or beat ADP by 10,19.64,0.1964,56,11,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Breakout Candidate,"""Breakout Candidates""",busted,Lost 10 or more positional spots vs ADP,19.64,0.1964,56,11,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Breakout Candidate,"""Breakout Candidates""",fine,Lost 1-9 positional spots vs ADP,19.64,0.1964,56,11,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Trusty Veteran,"""Trusty Veterans""",returned_on_adp,Returned on ADP (no PPG threshold stated for RBs),33.33,0.3333,60,20,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Trusty Veteran,"""Trusty Veterans""",got_injured,Missed time due to injury,21.67,0.2167,60,13,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Trusty Veteran,"""Trusty Veterans""",boomed,18+ PPG or beat ADP by 10,20.0,0.2,60,12,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Trusty Veteran,"""Trusty Veterans""",busted,Lost 10 or more positional spots vs ADP,16.67,0.1667,60,10,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Trusty Veteran,"""Trusty Veterans""",fine,Lost 1-9 positional spots vs ADP,28.33,0.2833,60,17,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",RB1s In Their Prime,"""RBs in their Prime""",returned_on_adp,Returned on ADP (no PPG threshold stated for RBs),46.15,0.4615,104,48,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",RB1s In Their Prime,"""RBs in their Prime""",got_injured,Missed time due to injury,15.38,0.1538,104,16,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",RB1s In Their Prime,"""RBs in their Prime""",boomed,18+ PPG or beat ADP by 10,27.88,0.2788,104,29,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",RB1s In Their Prime,"""RBs in their Prime""",busted,Lost 10 or more positional spots vs ADP,20.19,0.2019,104,21,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",RB1s In Their Prime,"""RBs in their Prime""",fine,Lost 1-9 positional spots vs ADP,18.27,0.1827,104,19,archetype n and event count reverse-engineered from the exact published percentage
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",ALL,All RBs,returned_on_adp,Returned on ADP (no PPG threshold stated for RBs),41.82,0.4182,220,92,
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",ALL,All RBs,got_injured,Missed time due to injury,17.73,0.1773,220,39,
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",ALL,All RBs,boomed,18+ PPG or beat ADP by 10,24.09,0.2409,220,52,"Published all-RB rate 24.09% does not reconcile with the three bucket columns, which pool to 23.64% (52 of 220). Use the per-archetype rates."
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",ALL,All RBs,busted,Lost 10 or more positional spots vs ADP,19.09,0.1909,220,42,
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",ALL,All RBs,fine,Lost 1-9 positional spots vs ADP,21.36,0.2136,220,47,
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Prime Multi Time RB1,NOT IN SOURCE TABLE,returned_on_adp,Returned on ADP (no PPG threshold stated for RBs),,,,,"The factor grid assigns five RBs to Prime Multi Time RB1, but the hit-rate table has only three buckets and publishes no rate for it. No base rate exists for this archetype."
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Prime Multi Time RB1,NOT IN SOURCE TABLE,got_injured,Missed time due to injury,,,,,"The factor grid assigns five RBs to Prime Multi Time RB1, but the hit-rate table has only three buckets and publishes no rate for it. No base rate exists for this archetype."
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Prime Multi Time RB1,NOT IN SOURCE TABLE,boomed,18+ PPG or beat ADP by 10,,,,,"The factor grid assigns five RBs to Prime Multi Time RB1, but the hit-rate table has only three buckets and publishes no rate for it. No base rate exists for this archetype."
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Prime Multi Time RB1,NOT IN SOURCE TABLE,busted,Lost 10 or more positional spots vs ADP,,,,,"The factor grid assigns five RBs to Prime Multi Time RB1, but the hit-rate table has only three buckets and publishes no rate for it. No base rate exists for this archetype."
RB_ARCHETYPE_HIT_RATES_2015_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"RBs drafted inside the top 20 of ADP, 2015 onward (n=220)",Prime Multi Time RB1,NOT IN SOURCE TABLE,fine,Lost 1-9 positional spots vs ADP,,,,,"The factor grid assigns five RBs to Prime Multi Time RB1, but the hit-rate table has only three buckets and publishes no rate for it. No base rate exists for this archetype."
