analysis_id,source,source_type,analyst,source_date,population,archetype,archetype_label_in_source,outcome,outcome_definition,rate_pct_published,probability,archetype_n_inferred,event_count_inferred,note
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Breakout Candidate,"""Breakout Candidates""",returned_on_adp,"Met ADP value, defined as 17+ PPR points per game",27.27,0.2727,44,12,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Breakout Candidate,"""Breakout Candidates""",got_injured,Missed time due to injury,15.91,0.1591,44,7,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Breakout Candidate,"""Breakout Candidates""",boomed,"18+ PPR PPG, or beat ADP by 10 or more positional spots",18.18,0.1818,44,8,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Breakout Candidate,"""Breakout Candidates""",busted,Lost 12 or more positional spots vs ADP,29.55,0.2955,44,13,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Breakout Candidate,"""Breakout Candidates""",fine,Lost 1-11 positional spots vs ADP,27.27,0.2727,44,12,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Trusty Veteran,"""Trusty Veterans""",returned_on_adp,"Met ADP value, defined as 17+ PPR points per game",27.78,0.2778,36,10,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Trusty Veteran,"""Trusty Veterans""",got_injured,Missed time due to injury,30.56,0.3056,36,11,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Trusty Veteran,"""Trusty Veterans""",boomed,"18+ PPR PPG, or beat ADP by 10 or more positional spots",8.33,0.0833,36,3,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Trusty Veteran,"""Trusty Veterans""",busted,Lost 12 or more positional spots vs ADP,16.67,0.1667,36,6,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
WR_ARCHETYPE_HIT_RATES_2020_2025,Analyst archetype outcome table (screenshot),third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"WRs drafted inside the top 36 WRs of ADP, 2020 onward (n=180)",Trusty Veteran,"""Trusty Veterans""",fine,Lost 1-11 positional spots vs ADP,25.0,0.25,36,9,archetype n and event count reverse-engineered from the exact published percentage; not stated in source
